id,created_at,data
2624,2026-02-11T10:09:26.389Z,"{""createdAt"":""2026-02-11T10:09:26.389Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":854,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":854,""timeMs"":759702,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/1660000000/1655111100/1635536660/1333335560/2272235550"",""hold"":""S"",""labels"":[""J"",""T"",""I"",""O"",""Z"",""L""],""label_context"":{""playstyle"":""beginner""}}"
2625,2026-02-11T10:11:05.904Z,"{""createdAt"":""2026-02-11T10:11:05.904Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":778,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":778,""timeMs"":694784,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0007000000/6677000000/6777733330/6777573330/6775575530/6665677550/3333666440"",""hold"":""I"",""labels"":[""J"",""O"",""I"",""S"",""T"",""L""],""label_context"":{""playstyle"":""beginner""}}"
2626,2026-02-11T10:11:16.636Z,"{""createdAt"":""2026-02-11T10:11:16.636Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":16,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":16,""timeMs"":16117,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0007770000/0557777760/5555777760/6551111660/6665666550"",""hold"":null,""labels"":[""L"",""S"",""Z"",""T"",""I"",""O"",""J""],""label_context"":{""playstyle"":""beginner""}}"
2627,2026-02-11T10:11:24.503Z,"{""createdAt"":""2026-02-11T10:11:24.503Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":780,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":780,""timeMs"":696066,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/6000000000/6667007000/6677777000/6777733330/6777573330/6775575530/6665677550/3333666440"",""hold"":""I"",""labels"":[""O"",""I"",""S"",""Z""],""label_context"":{""playstyle"":""beginner""}}"
2628,2026-02-11T10:11:36.752Z,"{""createdAt"":""2026-02-11T10:11:36.752Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":780,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":780,""timeMs"":656992,""trigger"":""lock"",""level"":29,""score"":780840}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/3000000000/3300000000/3304000003/6666470443/7767033777/3777223770"",""hold"":""S"",""labels"":[""L"",""T"",""Z""],""label_context"":{""playstyle"":""beginner""}}"
2629,2026-02-11T10:11:45.920Z,"{""createdAt"":""2026-02-11T10:11:45.920Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":470,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":470,""timeMs"":435795,""trigger"":""lock"",""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/3005500000/3344550000/3445577400/7776557440"",""hold"":""Z"",""labels"":[""J"",""Z"",""S"",""O"",""I"",""T""],""label_context"":{""playstyle"":""beginner""}}"
2630,2026-02-11T10:12:08.020Z,"{""createdAt"":""2026-02-11T10:12:08.020Z"",""source"":{""file"":""remote:20260211023737"",""sessionId"":""20260211023737"",""sampleIndex"":812,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211023737"",""createdAt"":""2026-02-11T01:37:37.331Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""practice"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":812,""timeMs"":723147,""trigger"":""manual""}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0441311110/4471336660/7771377760/6661576660/5565544660/6667226660/5544554470"",""hold"":""I"",""labels"":[""I"",""L"",""T"",""Z""],""label_context"":{""playstyle"":""beginner""}}"
2631,2026-02-11T10:12:20.303Z,"{""createdAt"":""2026-02-11T10:12:20.303Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":1257,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":1257,""timeMs"":1095336,""trigger"":""lock"",""level"":48,""score"":1333300}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000300/7710603330/0713666226/6710122447/7733334440/3766644220"",""hold"":""L"",""labels"":[""Z"",""T""],""label_context"":{""playstyle"":""beginner""}}"
2632,2026-02-11T10:12:39.353Z,"{""createdAt"":""2026-02-11T10:12:39.353Z"",""source"":{""file"":""remote:20260211013419"",""sessionId"":""20260211013419"",""sampleIndex"":62,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013419"",""createdAt"":""2026-02-11T00:34:19.446Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""sprint"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":62,""timeMs"":52926,""trigger"":""lock"",""linesLeft"":16,""level"":0,""score"":0}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/7000070000/7000070000/7733377300"",""hold"":null,""labels"":[""I"",""J"",""Z"",""T"",""L"",""O""],""label_context"":{""playstyle"":""beginner""}}"
2633,2026-02-11T10:13:00.670Z,"{""createdAt"":""2026-02-11T10:13:00.670Z"",""source"":{""file"":""remote:20260211013557"",""sessionId"":""20260211013557"",""sampleIndex"":493,""shownCount"":1},""snapshot_meta"":{""session"":{""id"":""20260211013557"",""createdAt"":""2026-02-11T00:35:57.360Z"",""protocolVersion"":2,""rows"":20,""cols"":10,""settings"":{""game"":{""gravityMs"":800,""softDropMs"":0,""lockDelayMs"":500,""hardLockDelayMs"":2000},""generator"":{""type"":""ml"",""ml"":{""strategy"":""threshold"",""temperature"":1.5,""threshold"":0.1}}},""mode"":{""id"":""classic"",""options"":{}},""buildVersion"":""0.2.3"",""model_url"":""/models/model_v2.json"",""device_id"":""6bf0d205-0327-4af0-93ac-f09bec0d9c20""},""sample"":{""index"":493,""timeMs"":420371,""trigger"":""lock"",""level"":18,""score"":473680}},""board"":""0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0000000000/0070220006/7777220006/2217066666/2217730677/6445566670"",""hold"":""I"",""labels"":[""L"",""T""],""label_context"":{""playstyle"":""beginner""}}"
